Set Title,Set Number,Question Number,Type,Question,Answer,Reference,Book,Chapter,Verse,Begin Verse
"Set #1  all questions",1,1582,"S","Situation question: who said it, and to whom: ""You are a child of the devil and an enemy of everything that is right! You are full of all kinds of deceit and trickery. Will you never stop perverting the right ways of the Lord?""","Paul said it to Elymas (the sorcerer)","Acts 13:10",Acts,13,"10",10,
"Set #1  all questions",1,1583,"A","According to Acts, chapter 13, verse 10, of whom are you a child?","The devil","Acts 13:10",Acts,13,"10",10,
"Set #1  all questions",1,1584,"G","Of whom is Elymas a child?","The devil","Acts 13:10",Acts,13,"10",10,
"Set #1  all questions",1,1585,"X","Two-part answer: what immediately came over Elymas?","1) Mist; 2) Darkness","Acts 13:11",Acts,13,"11",11,
"Set #1  all questions",1,1586,"X","In Acts, chapter 13, who is going to be blind for a time?","Elymas (the sorcerer)","Acts 13:11",Acts,13,"11",11,
"Set #1  all questions",1,1587,"S","Situation question: who said it, and to whom: ""Now the hand of the Lord is against you. You are going to be blind for a time, not even able to see the light of the sun.""?","Paul said it to Elymas (the sorcerer)","Acts 13:11",Acts,13,"11",11,
"Set #1  all questions",1,1588,"A","According to Acts, chapter 13, verse 11, what immediately came over him?","Mist and darkness","Acts 13:11",Acts,13,"11",11,
"Set #1  all questions",1,1589,"A","According to Acts, chapter 13, verse 11, what are you going to be for a time?","Blind","Acts 13:11",Acts,13,"11",11,
"Set #1  all questions",1,1590,"A","According to Acts, chapter 13, verse 12, who was amazed at the teaching about the Lord?","The proconsul","Acts 13:12",Acts,13,"12",12,
"Set #1  all questions",1,1591,"A","According to Acts, chapter 13, verse 12, who saw what had happened?","The proconsul","Acts 13:12",Acts,13,"12",12,
"Set #1  all questions",1,1592,"A","According to Acts, chapter 13, verse 12, who believed?","The proconsul","Acts 13:12",Acts,13,"12",12,
"Set #1  all questions",1,1593,"A","According to Acts, chapter 13, verse 12, what did the proconsul see?","What had happened","Acts 13:12",Acts,13,"12",12,
"Set #1  all questions",1,1594,"A","According to Acts, chapter 13, verse 13, who left them?","John","Acts 13:13",Acts,13,"13",13,
"Set #1  all questions",1,1595,"G","From where did Paul and his companions sail to Perga in Pamphylia?","Paphos","Acts 13:13",Acts,13,"13",13,
"Set #1  all questions",1,1596,"A","According to Acts, chapter 13, verse 13, to where did Paul and his companions sail?","Perga in Pamphylia","Acts 13:13",Acts,13,"13",13,
"Set #1  all questions",1,1597,"G","From where did they go on to Pisidian Antioch?","Perga","Acts 13:14",Acts,13,"14",14,
"Set #1  all questions",1,1598,"A","According to Acts, chapter 13, verse 14, when did they enter the synagogue and sit down?","On the Sabbath","Acts 13:14",Acts,13,"14",14,
"Set #1  all questions",1,1599,"A","According to Acts, chapter 13, verse 14, what did they enter on the Sabbath?","The synagogue","Acts 13:14",Acts,13,"14",14,
"Set #1  all questions",1,1600,"G","What if you have a word of exhortation for the people?","Please speak","Acts 13:15",Acts,13,"15",15,
"Set #1  all questions",1,1601,"A","According to Acts, chapter 13, verse 16, who stood up?","Paul","Acts 13:16",Acts,13,"16",16,
"Set #1  all questions",1,1602,"A","According to Acts, chapter 13, verse 16, who motioned with his hand?","Paul","Acts 13:16",Acts,13,"16",16,
"Set #1  all questions",1,1603,"G","Who said, ""Fellow Israelites and you Gentiles who worship God, listen to me!""?","Paul","Acts 13:16",Acts,13,"16",16,
"Set #1  all questions",1,1604,"X","Out of what country did God lead our ancestors?","Egypt","Acts 13:17",Acts,13,"17",17,
"Set #1  all questions",1,1605,"A","According to Acts, chapter 13, verse 17, whom did the God of the people of Israel choose?","Our ancestors","Acts 13:17",Acts,13,"17",17,
"Set #1  all questions",1,1606,"G","What did God make the people do during their stay in Egypt?","Prosper","Acts 13:17",Acts,13,"17",17,
"Set #1  all questions",1,1607,"X","In Acts, chapter 13, for how long were our ancestors in the wilderness?","About forty years","Acts 13:18",Acts,13,"18",18,
"Set #1  all questions",1,1608,"G","As what did God give their land to his people?","Their inheritance","Acts 13:19",Acts,13,"19",19,
"Set #1  all questions",1,1609,"G","How many nations did God overthrow in Canaan?","Seven","Acts 13:19",Acts,13,"19",19,
"Set #1  all questions",1,1610,"A","According to Acts, chapter 13, verse 20, how long did all this take?","About 450 years","Acts 13:20",Acts,13,"20",20,
"Set #1  all questions",1,1611,"A","According to Acts, chapter 13, verse 20, whom did God give them?","Judges","Acts 13:20",Acts,13,"20",20,
"Set #1  all questions",1,1612,"A","According to Acts, chapter 13, verse 20, who was a prophet?","Samuel","Acts 13:20",Acts,13,"20",20,
"Set #1  all questions",1,1613,"G","Who gave them judges until the time of Samuel the prophet?","God","Acts 13:20",Acts,13,"20",20,
"Set #1  all questions",1,1614,"G","Whom did God give them until the time of Samuel the prophet?","Judges","Acts 13:20",Acts,13,"20",20,
"Set #1  all questions",1,1615,"A","According to Acts, chapter 13, verse 21, for whom did the people ask?","A king","Acts 13:21",Acts,13,"21",21,
"Set #1  all questions",1,1616,"A","According to Acts, chapter 13, verse 21, of whom was Saul the son?","Kish","Acts 13:21",Acts,13,"21",21,
"Set #1  all questions",1,1617,"G","How long did Saul son of Kish rule?","Forty years","Acts 13:21",Acts,13,"21",21,
"Set #1  all questions",1,1618,"G","Who gave them Saul son of Kish?","God","Acts 13:21",Acts,13,"21",21,
"Set #1  all questions",1,1619,"G","Who was the son of Kish?","Saul","Acts 13:21",Acts,13,"21",21,
"Set #1  all questions",1,1620,"X","In Acts, chapter 13, who will do everything God wants him to do?","David","Acts 13:22",Acts,13,"22",22,
"Set #1  all questions",1,1621,"A","According to Acts, chapter 13, verse 22, concerning whom did God testify?","David","Acts 13:22",Acts,13,"22",22,
"Set #1  all questions",1,1622,"A","According to Acts, chapter 13, verse 22, whom did God make their king?","David","Acts 13:22",Acts,13,"22",22,
"Set #1  all questions",1,1623,"A","According to Acts, chapter 13, verse 22, who removed Saul?","God","Acts 13:22",Acts,13,"22",22,
"Set #1  all questions",1,1624,"G","Who is a man after God's own heart?","David","Acts 13:22",Acts,13,"22",22,
"Set #1  all questions",1,1625,"G","Of whom was David the son?","Jesse","Acts 13:22",Acts,13,"22",22,
"Set #1  all questions",1,1626,"G","Who was the son of Jesse?","David","Acts 13:22",Acts,13,"22",22,
"Set #1  all questions",1,1627,"G","Concerning whom did God testify: ""I have found David son of Jesse, a man after my own heart; he will do everything I want him to do.""?","David","Acts 13:22",Acts,13,"22",22,
"Set #1  all questions",1,1628,"G","Who will do everything God wants him to do?","David","Acts 13:22",Acts,13,"22",22,
"Set #1  all questions",1,1629,"G","Whom did God make their king after removing Saul?","David","Acts 13:22",Acts,13,"22",22,
"Set #1  all questions",1,1630,"G","Who testified concerning David, ""I have found David son of Jesse, a man after my own heart; he will do everything I want him to do.""?","God","Acts 13:22",Acts,13,"22",22,
"Set #1  all questions",1,1631,"G","Who made David their king?","God","Acts 13:22",Acts,13,"22",22,
"Set #1  all questions",1,1632,"X","In Acts, chapter 13, to whom has God brought the Savior Jesus?","Israel","Acts 13:23",Acts,13,"23",23,
"Set #1  all questions",1,1633,"A","According to Acts, chapter 13, verse 23, to whom has God brought the Savior Jesus?","Israel","Acts 13:23",Acts,13,"23",23,
"Set #1  all questions",1,1634,"A","According to Acts, chapter 13, verse 23, whom has God brought to Israel?","The Savior Jesus","Acts 13:23",Acts,13,"23",23,
"Set #1  all questions",1,1635,"G","From whose descendants has God brought to Israel the Savior Jesus?","David's","Acts 13:23",Acts,13,"23",23,
"Set #1  all questions",1,1636,"G","Who promised to bring to Israel the Savior Jesus?","God","Acts 13:23",Acts,13,"23",23,
"Set #1  all questions",1,1637,"G","Who has brought to Israel the Savior Jesus?","God","Acts 13:23",Acts,13,"23",23,
"Set #1  all questions",1,1638,"G","Who preached repentance and baptism to all the people of Israel before the coming of Jesus?","John","Acts 13:24",Acts,13,"24",24,
"Set #1  all questions",1,1639,"A","According to Acts, chapter 13, verse 25, who was completing his work?","John","Acts 13:25",Acts,13,"25",25,
"Set #1  all questions",1,1640,"G","Who is not worthy to untie the sandals of one coming after him?","John","Acts 13:25",Acts,13,"25",25,
"Set #1  all questions",1,1641,"G","Who is not the one you are looking for?","John","Acts 13:25",Acts,13,"25",25,
"Set #1  all questions",1,1642,"G","Who said, ""Who do you suppose I am? I am not the one you are looking for. But there is one coming after me whose sandals I am not worthy to untie.""?","John","Acts 13:25",Acts,13,"25",25,
"Set #1  all questions",1,1643,"Q","Quote Acts, chapter 13, verses 26 through 27.","""""Fellow children of Abraham and you God-fearing Gentiles, it is to us that this message of salvation has been sent. The people of Jerusalem and their rulers did not recognize Jesus, yet in condemning him they fulfilled the words of the prophets that are read every Sabbath.""","Acts 13:26-27",Acts,13,"26-27",26,
"Set #1  all questions",1,1644,"A","According to Acts, chapter 13, verse 27, when are the words of the prophets read?","Every Sabbath","Acts 13:27",Acts,13,"27",27,
"Set #1  all questions",1,1645,"A","According to Acts, chapter 13, verse 27, whom did the people of Jerusalem and their rulers condemn?","Jesus","Acts 13:27",Acts,13,"27",27,
"Set #1  all questions",1,1646,"G","Whom did the people of Jerusalem and their rulers not recognize?","Jesus","Acts 13:27",Acts,13,"27",27,
"Set #1  all questions",1,1647,"A","According to Acts, chapter 13, verse 28, whom did they ask to have him executed?","Pilate","Acts 13:28",Acts,13,"28",28,
"Set #1  all questions",1,1648,"G","Whom did the people of Jerusalem and their rulers ask to have Jesus executed?","Pilate","Acts 13:28",Acts,13,"28",28,
"Set #1  all questions",1,1649,"A","According to Acts, chapter 13, verse 29, from what did they take him down?","The cross","Acts 13:29",Acts,13,"29",29,
"Set #1  all questions",1,1650,"G","In what did they lay Jesus?","A tomb","Acts 13:29",Acts,13,"29",29,
"Set #1  all questions",1,1651,"G","Whom did they take down from the cross and lay in a tomb?","Jesus","Acts 13:29",Acts,13,"29",29,
"Set #1  all questions",1,1652,"G","From what did they take Jesus down?","The cross","Acts 13:29",Acts,13,"29",29,
"Set #1  all questions",1,1653,"G","Who was seen for many days by those who had traveled with him from Galilee to Jerusalem?","Jesus","Acts 13:31",Acts,13,"31",31,
"Set #1  all questions",1,1654,"G","For how long was Jesus seen by those who had traveled with him from Galilee to Jerusalem?","Many days","Acts 13:31",Acts,13,"31",31,
"Set #1  all questions",1,1655,"G","To whom are those who had traveled with Jesus from Galilee to Jerusalem now his witnesses?","Our people","Acts 13:31",Acts,13,"31",31,
"Set #1  all questions",1,1656,"G","Who has fulfilled for us what he promised our ancestors?","God","Acts 13:32-33",Acts,13,"32-33",32,
"Set #1  all questions",1,1657,"X","From what Old Testament book does the following quotation come: ""You are my son; today I have become your father.""?","Psalms","Acts 13:33",Acts,13,"33",33,
"Set #1  all questions",1,1658,"A","According to Acts, chapter 13, verse 33, what are you?","My son","Acts 13:33",Acts,13,"33",33,
"Set #1  all questions",1,1659,"A","According to Acts, chapter 13, verse 33, when I have become your father?","Today","Acts 13:33",Acts,13,"33",33,
"Set #1  all questions",1,1660,"A","According to Acts, chapter 13, verse 33, what have I become today?","Your father","Acts 13:33",Acts,13,"33",33,
"Set #1  all questions",1,1661,"X","From what Old Testament book does the following quotation come: ""I will give you the holy and sure blessings promised to David.""?","Isaiah","Acts 13:34",Acts,13,"34",34,
"Set #1  all questions",1,1662,"G","To whom were holy and sure blessings promised?","David","Acts 13:34",Acts,13,"34",34,
"Set #1  all questions",1,1663,"G","To what will Jesus never be subject?","Decay","Acts 13:34",Acts,13,"34",34,
"Set #1  all questions",1,1664,"G","Who will never be subject to decay?","Jesus","Acts 13:34",Acts,13,"34",34,
"Set #1  all questions",1,1665,"X","From what Old Testament book does the following quotation come: ""You will not let your holy one see decay.""?","Psalms","Acts 13:35",Acts,13,"35",35,
"Set #1  all questions",1,1666,"G","Where is it also stated, ""You will not let your holy one see decay.""?","Elsewhere (Psalms)","Acts 13:35",Acts,13,"35",35,
"Set #1  all questions",1,1667,"A","According to Acts, chapter 13, verse 36, who was buried?","David","Acts 13:36",Acts,13,"36",36,
"Set #1  all questions",1,1668,"A","According to Acts, chapter 13, verse 36, who fell asleep?","David","Acts 13:36",Acts,13,"36",36,
"Set #1  all questions",1,1669,"A","According to Acts, chapter 13, verse 36, what decayed?","David's body","Acts 13:36",Acts,13,"36",36,
"Set #1  all questions",1,1670,"G","Who fell asleep when he had served God's purpose in his own generation?","David","Acts 13:36",Acts,13,"36",36,
"Set #1  all questions",1,1671,"G","Who had served God's purpose in his own generation?","David","Acts 13:36",Acts,13,"36",36,
"Set #1  all questions",1,1672,"G","Who was buried with his ancestors?","David","Acts 13:36",Acts,13,"36",36,
"Set #1  all questions",1,1673,"G","Whose body decayed?","David's","Acts 13:36",Acts,13,"36",36,
"Set #1  all questions",1,1674,"G","Whose purpose had David served?","God's","Acts 13:36",Acts,13,"36",36,
"Set #1  all questions",1,1675,"G","With whom was David buried?","His ancestors","Acts 13:36",Acts,13,"36",36,
"Set #1  all questions",1,1676,"G","What did the one whom God raised from the dead did not see?","Decay","Acts 13:37",Acts,13,"37",37,
"Set #1  all questions",1,1677,"V","Finish these verses: """"Therefore, my friends, I want...""","""...you to know that through Jesus the forgiveness of sins is proclaimed to you. Through him everyone who believes is set free from every sin, a justification you were not able to obtain under the law of Moses.""","Acts 13:38-39",Acts,13,"38-39",38,
"Set #1  all questions",1,1678,"G","Through whom is the forgiveness of sins proclaimed to you?","Jesus","Acts 13:38",Acts,13,"38",38,
"Set #1  all questions",1,1679,"G","Who wants you to know that through Jesus the forgiveness of sins is proclaimed to you?","Paul","Acts 13:38",Acts,13,"38",38,
"Set #1  all questions",1,1680,"G","From what is everyone who believes set free through Jesus?","Every sin","Acts 13:39",Acts,13,"39",39,
"Set #1  all questions",1,1681,"G","Through whom is everyone who believes set free from every sin?","Jesus","Acts 13:39",Acts,13,"39",39,
"Set #1  all questions",1,1682,"X","From what Old Testament book does the following quotation come: ""Look, you scoffers, wonder and perish, for I am going to do something in your days that you would never believe, even if someone told you.""?","Habakkuk","Acts 13:41",Acts,13,"41",41,
"Set #1  all questions",1,1683,"G","Who should wonder and perish?","You scoffers","Acts 13:41",Acts,13,"41",41,
"Set #1  all questions",1,1684,"A","According to Acts, chapter 13, verse 42, what were Paul and Barnabas leaving?","The synagogue","Acts 13:42",Acts,13,"42",42,
"Set #1  all questions",1,1685,"G","Who invited Paul and Barnabas to speak further about these things on the next Sabbath?","The people","Acts 13:42",Acts,13,"42",42,
"Set #1  all questions",1,1686,"A","According to Acts, chapter 13, verse 43, who was dismissed?","The congregation","Acts 13:43",Acts,13,"43",43,
"Set #1  all questions",1,1687,"A","According to Acts, chapter 13, verse 45, with what were the Jews filled?","Jealousy","Acts 13:45",Acts,13,"45",45,
"Set #1  all questions",1,1688,"A","According to Acts, chapter 13, verse 45, who saw the crowds?","The Jews","Acts 13:45",Acts,13,"45",45,
"Set #1  all questions",1,1689,"A","According to Acts, chapter 13, verse 45, who were filled with jealousy?","The Jews","Acts 13:45",Acts,13,"45",45,
"Set #1  all questions",1,1690,"G","What did the Jews heap on Paul?","Abuse","Acts 13:45",Acts,13,"45",45,
"Set #1  all questions",1,1691,"G","On whom did the Jews heap abuse?","Paul","Acts 13:45",Acts,13,"45",45,
"Set #1  all questions",1,1692,"G","Who heaped abuse on Paul?","The Jews","Acts 13:45",Acts,13,"45",45,
"Set #1  all questions",1,1693,"G","Who began to contradict what Paul was saying?","The Jews","Acts 13:45",Acts,13,"45",45,
"Set #1  all questions",1,1694,"V","Finish these verses: ""Then Paul and Barnabas answered...""","""...them boldly: ""We had to speak the word of God to you first. Since you reject it and do not consider yourselves worthy of eternal life, we now turn to the Gentiles. For this is what the Lord has commanded us: ""'I have made you a light for the Gentiles, that you may bring salvation to the ends of the earth.'""""","Acts 13:46-47",Acts,13,"46-47",46,
"Set #1  all questions",1,1695,"A","According to Acts, chapter 13, verse 46, of what do you not consider yourselves worthy?","Eternal life","Acts 13:46",Acts,13,"46",46,
"Set #1  all questions",1,1696,"A","According to Acts, chapter 13, verse 46, to whom do we now turn?","The Gentiles","Acts 13:46",Acts,13,"46",46,
"Set #1  all questions",1,1697,"G","How did Paul and Barnabas answer the Jews, ""We had to speak the word of God to you first. Since you reject it and do not consider yourselves worthy of eternal life, we now turn to the Gentiles.""?","Boldly","Acts 13:46",Acts,13,"46",46,
"Set #1  all questions",1,1698,"G","Of what do the Jews not consider themselves worthy?","Eternal life","Acts 13:46",Acts,13,"46",46,
"Set #1  all questions",1,1699,"G","When did Paul and Barnabas have to speak the word of God to the Jews?","First","Acts 13:46",Acts,13,"46",46,
"Set #1  all questions",1,1700,"G","Who reject the word of God?","The Jews","Acts 13:46",Acts,13,"46",46,
"Set #1  all questions",1,1701,"G","Who do not consider themselves worthy of eternal life?","The Jews","Acts 13:46",Acts,13,"46",46,
"Set #1  all questions",1,1702,"G","To whom did Paul and Barnabas have to speak the word of God first?","The Jews","Acts 13:46",Acts,13,"46",46,
"Set #1  all questions",1,1703,"G","Whom did Paul and Barnabas answer boldly, ""We had to speak the word of God to you first. Since you reject it and do not consider yourselves worthy of eternal life, we now turn to the Gentiles.""?","The Jews","Acts 13:46",Acts,13,"46",46,
"Set #1  all questions",1,1704,"X","From what Old Testament book does the following quotation come: ""I have made you a light for the Gentiles, that you may bring salvation to the ends of the earth.""?","Isaiah","Acts 13:47",Acts,13,"47",47,
"Set #1  all questions",1,1705,"A","According to Acts, chapter 13, verse 47, what may you bring to the ends of the earth?","Salvation","Acts 13:47",Acts,13,"47",47,
"Set #1  all questions",1,1706,"G","For whom have I made you a light?","The Gentiles","Acts 13:47",Acts,13,"47",47,
"Set #1  all questions",1,1707,"G","Who has commanded Paul and Barnabas: ""I have made you a light for the Gentiles, that you may bring salvation to the ends of the earth.""?","The Lord","Acts 13:47",Acts,13,"47",47,
"Set #1  all questions",1,1708,"A","According to Acts, chapter 13, verse 48, who were glad?","The Gentiles","Acts 13:48",Acts,13,"48",48,
"Set #1  all questions",1,1709,"G","Who were glad and honored the word of the Lord?","The Gentiles","Acts 13:48",Acts,13,"48",48,
"Set #1  all questions",1,1710,"G","What did the Jewish leaders stir up against Paul and Barnabas?","Persecution","Acts 13:50",Acts,13,"50",50,
"Set #1  all questions",1,1711,"G","From where did the Jewish leaders expel Paul and Barnabas?","Their region","Acts 13:50",Acts,13,"50",50,
"Set #1  all questions",1,1712,"A","According to Acts, chapter 13, verse 51, where did they go?","To Iconium","Acts 13:51",Acts,13,"51",51,
"Set #1  all questions",1,1713,"G","What did Paul and Barnabas shake off their feet?","The dust","Acts 13:51",Acts,13,"51",51,
"Set #1  all questions",1,1714,"A","According to Acts, chapter 13, verse 52, who were filled with joy and with the Holy Spirit?","The disciples","Acts 13:52",Acts,13,"52",52,
"Set #1  all questions",1,1715,"A","According to Acts, chapter 13, verse 52, who were filled with the Holy Spirit?","The disciples","Acts 13:52",Acts,13,"52",52,
"Set #1  all questions",1,1716,"G","Who went as usual into the Jewish synagogue at Iconium?","Paul and Barnabas","Acts 14:1",Acts,14,"1",1,
"Set #1  all questions",1,1717,"G","Into what did Paul and Barnabas go as usual at Iconium?","The Jewish synagogue","Acts 14:1",Acts,14,"1",1,
"Set #1  all questions",1,1718,"G","Against whom did the Jews who refused to believe poison the other Gentiles' minds?","The brothers","Acts 14:2",Acts,14,"2",2,
"Set #1  all questions",1,1719,"A","According to Acts, chapter 14, verse 3, how did Paul and Barnabas speak for the Lord?","Boldly","Acts 14:3",Acts,14,"3",3,
"Set #1  all questions",1,1720,"G","For whom did Paul and Barnabas speak boldly?","The Lord","Acts 14:3",Acts,14,"3",3,
"Set #1  all questions",1,1721,"G","Who enabled Paul and Barnabas to perform signs and wonders?","The Lord","Acts 14:3",Acts,14,"3",3,
"Set #1  all questions",1,1722,"G","Whom did the Lord enable to perform signs and wonders?","Paul and Barnabas","Acts 14:3",Acts,14,"3",3,
"Set #1  all questions",1,1723,"G","Who spent considerable time at Iconium?","Paul and Barnabas","Acts 14:3",Acts,14,"3",3,
"Set #1  all questions",1,1724,"G","Who confirmed the message of his grace by enabling Paul and Barnabas to perform signs and wonders?","The Lord","Acts 14:3",Acts,14,"3",3,
"Set #1  all questions",1,1725,"A","According to Acts, chapter 14, verse 4, what were the people of the city?","Divided","Acts 14:4",Acts,14,"4",4,
"Set #1  all questions",1,1726,"G","Who sided with the apostles?","Others","Acts 14:4",Acts,14,"4",4,
"Set #1  all questions",1,1727,"G","Who sided with the Jews?","Some","Acts 14:4",Acts,14,"4",4,
"Set #1  all questions",1,1728,"G","Who found out about a plot to mistreat them and stone them?","Paul and Barnabas","Acts 14:6",Acts,14,"6",6,
"Set #1  all questions",1,1729,"A","According to Acts, chapter 14, verse 7, what did they continue to preach?","The gospel","Acts 14:7",Acts,14,"7",7,
"Set #1  all questions",1,1730,"S","Situation question: who said it, to whom, and what was the response: ""Stand up on your feet!""?","Paul said it to a man who was lame (in Lystra), and the man jumped up and began to walk","Acts 14:8-10",Acts,14,"8-10",8,
"Set #1  all questions",1,1731,"X","In Acts, chapter 14, where was a man who was lame sitting?","In Lystra","Acts 14:8",Acts,14,"8",8,
"Set #1  all questions",1,1732,"A","According to Acts, chapter 14, verse 8, where did a man who was lame sit?","In Lystra","Acts 14:8",Acts,14,"8",8,
"Set #1  all questions",1,1733,"V","Finish these verses: ""He listened to Paul as...""","""...he was speaking. Paul looked directly at him, saw that he had faith to be healed and called out, ""Stand up on your feet!"" At that, the man jumped up and began to walk.""","Acts 14:9-10",Acts,14,"9-10",9,
"Set #1  all questions",1,1734,"A","According to Acts, chapter 14, verse 9, to whom did he listen?","Paul","Acts 14:9",Acts,14,"9",9,
"Set #1  all questions",1,1735,"A","According to Acts, chapter 14, verse 9, who looked directly at him?","Paul","Acts 14:9",Acts,14,"9",9,
"Set #1  all questions",1,1736,"G","Who saw that a man who was lame had faith to be healed?","Paul","Acts 14:9",Acts,14,"9",9,
"Set #1  all questions",1,1737,"G","Who called out, ""Stand up on your feet!""?","Paul","Acts 14:10",Acts,14,"10",10,
"Set #1  all questions",1,1738,"A","According to Acts, chapter 14, verse 11, who saw what Paul had done?","The crowd","Acts 14:11",Acts,14,"11",11,
"Set #1  all questions",1,1739,"G","Who shouted, ""The gods have come down to us in human form!""?","The crowd","Acts 14:11",Acts,14,"11",11,
"Set #1  all questions",1,1740,"G","Who shouted in the Lycaonian language, ""The gods have come down to us in human form!""?","The crowd","Acts 14:11",Acts,14,"11",11,
"Set #1  all questions",1,1741,"X","Two-part question: whom did the crowd call Zeus, and whom did they call Hermes?","1) Barnabas; 2) Paul","Acts 14:12",Acts,14,"12",12,
"Set #1  all questions",1,1742,"X","Two-part question: in Acts, chapter 14, what did they call Barnabas, and what did they call Paul?","1) Zeus; 2) Hermes","Acts 14:12",Acts,14,"12",12,
"Set #1  all questions",1,1743,"A","According to Acts, chapter 14, verse 12, what did they call Paul?","Hermes","Acts 14:12",Acts,14,"12",12,
"Set #1  all questions",1,1744,"A","According to Acts, chapter 14, verse 12, what did they call Barnabas?","Zeus","Acts 14:12",Acts,14,"12",12,
"Set #1  all questions",1,1745,"G","Whom did the crowd call Zeus?","Barnabas","Acts 14:12",Acts,14,"12",12,
"Set #1  all questions",1,1746,"G","Who was the chief speaker?","Paul","Acts 14:12",Acts,14,"12",12,
"Set #1  all questions",1,1747,"G","Whom did the crowd call Hermes?","Paul","Acts 14:12",Acts,14,"12",12,
"Set #1  all questions",1,1748,"G","Whose temple was just outside the city?","Zeus'","Acts 14:13",Acts,14,"13",13,
"Set #1  all questions",1,1749,"A","According to Acts, chapter 14, verse 13, what was just outside the city?","Zeus' temple","Acts 14:13",Acts,14,"13",13,
"Set #1  all questions",1,1750,"G","What did the priest of Zeus and the crowd want to offer to Barnabas and Paul?","Sacrifices","Acts 14:13",Acts,14,"13",13,
"Set #1  all questions",1,1751,"G","What did Barnabas and Paul tear?","Their clothes","Acts 14:14",Acts,14,"14",14,
"Set #1  all questions",1,1752,"V","Finish this verse: """"Friends, why are you doing...""","""...this? We too are only human, like you. We are bringing you good news, telling you to turn from these worthless things to the living God, who made the heavens and the earth and the sea and everything in them.""","Acts 14:15",Acts,14,"15",15,
"Set #1  all questions",1,1753,"A","According to Acts, chapter 14, verse 15, what are we bringing you?","Good news","Acts 14:15",Acts,14,"15",15,
"Set #1  all questions",1,1754,"G","Whom did God let go their own way in the past?","All nations","Acts 14:16",Acts,14,"16",16,
"Set #1  all questions",1,1755,"X","Two-part question: in Acts, chapter 14, with what does God provide you, and with what does he fill your hearts?","1) Plenty of food; 2) Joy","Acts 14:17",Acts,14,"17",17,
"Set #1  all questions",1,1756,"X","Two-part question: in Acts, chapter 14, what does God give you from heaven, and what does he give you in their seasons?","1) Rain; 2) Crops","Acts 14:17",Acts,14,"17",17,
"Set #1  all questions",1,1757,"A","According to Acts, chapter 14, verse 17, with what does he fill your hearts?","Joy","Acts 14:17",Acts,14,"17",17,
"Set #1  all questions",1,1758,"G","What has God shown by giving you rain from heaven and crops in their seasons?","Kindness","Acts 14:17",Acts,14,"17",17,
"Set #1  all questions",1,1759,"A","According to Acts, chapter 14, verse 17, what does he give you from heaven?","Rain","Acts 14:17",Acts,14,"17",17,
"Set #1  all questions",1,1760,"A","According to Acts, chapter 14, verse 17, what does he fill with joy?","Your hearts","Acts 14:17",Acts,14,"17",17,
"Set #1  all questions",1,1761,"A","According to Acts, chapter 14, verse 17, what has he shown?","Kindness","Acts 14:17",Acts,14,"17",17,
"Set #1  all questions",1,1762,"A","According to Acts, chapter 14, verse 17, without what has he not left himself?","Testimony","Acts 14:17",Acts,14,"17",17,
"Set #1  all questions",1,1763,"G","What does God give you in their seasons?","Crops","Acts 14:17",Acts,14,"17",17,
"Set #1  all questions",1,1764,"G","Even with what did Barnabas and Paul have difficulty keeping the crowd from sacrificing to them?","These words","Acts 14:18",Acts,14,"18",18,
"Set #1  all questions",1,1765,"G","Whom did Barnabas and Paul have difficulty keeping from sacrificing to them?","The crowd","Acts 14:18",Acts,14,"18",18,
"Set #1  all questions",1,1766,"X","In Acts, chapter 14, who was stoned?","Paul","Acts 14:19",Acts,14,"19",19,
"Set #1  all questions",1,1767,"A","According to Acts, chapter 14, verse 19, whom did they drag outside the city?","Paul","Acts 14:19",Acts,14,"19",19,
"Set #1  all questions",1,1768,"A","According to Acts, chapter 14, verse 19, whom did they stone?","Paul","Acts 14:19",Acts,14,"19",19,
"Set #1  all questions",1,1769,"A","According to Acts, chapter 14, verse 19, who came from Antioch and Iconium?","Some Jews","Acts 14:19",Acts,14,"19",19,
"Set #1  all questions",1,1770,"G","Who came from Antioch and Iconium and won the crowd over?","Some Jews","Acts 14:19",Acts,14,"19",19,
"Set #1  all questions",1,1771,"G","Whom did some Jews from Antioch and Iconium win over?","The crowd","Acts 14:19",Acts,14,"19",19,
"Set #1  all questions",1,1772,"A","According to Acts, chapter 14, verse 20, for where did he and Barnabas leave the next day?","Derbe","Acts 14:20",Acts,14,"20",20,
"Set #1  all questions",1,1773,"A","According to Acts, chapter 14, verse 20, into where did he go back?","The city","Acts 14:20",Acts,14,"20",20,
"Set #1  all questions",1,1774,"A","According to Acts, chapter 14, verse 20, who had gathered around him?","The disciples","Acts 14:20",Acts,14,"20",20,
"Set #1  all questions",1,1775,"S","Situation question: who said it, and to whom: ""We must go through many hardships to enter the kingdom of God.""?","Paul and Barnabas said it to the disciples in Lystra, Iconium and Antioch","Acts 14:21-22",Acts,14,"21-22",21,
"Set #1  all questions",1,1776,"A","According to Acts, chapter 14, verse 21, what did they preach in that city?","The gospel","Acts 14:21",Acts,14,"21",21,
"Set #1  all questions",1,1777,"A","According to Acts, chapter 14, verse 22, whom were they encouraging to remain true to the faith?","The disciples","Acts 14:22",Acts,14,"22",22,
"Set #1  all questions",1,1778,"A","According to Acts, chapter 14, verse 22, whom were they strengthening?","The disciples","Acts 14:22",Acts,14,"22",22,
